"team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"Golden State Warriors","3/26/17",2016,3,0,33,"shot_no","Floating Jump shot","2PT Field Goal",10,"Memphis Grizzlies",-91,51,36
"Golden State Warriors","3/24/17",2016,2,1,56,"shot_yes","Floating Jump shot","2PT Field Goal",6,"Sacramento Kings",2,65,23
"Golden State Warriors","1/6/17",2016,2,5,52,"shot_yes","Floating Jump shot","2PT Field Goal",12,"Memphis Grizzlies",91,90,19
"Golden State Warriors","10/25/16",2016,2,7,22,"shot_no","Floating Jump shot","2PT Field Goal",6,"San Antonio Spurs",-1,61,17
"Golden State Warriors","11/28/16",2016,3,6,33,"shot_no","Floating Jump shot","2PT Field Goal",4,"Atlanta Hawks",-1,47,30
"Golden State Warriors","11/7/16",2016,4,3,51,"shot_no","Floating Jump shot","2PT Field Goal",9,"New Orleans Pelicans",89,39,45
"Golden State Warriors","11/16/16",2016,4,4,1,"shot_no","Floating Jump shot","2PT Field Goal",6,"Toronto Raptors",9,61,44
"Golden State Warriors","12/1/16",2016,4,7,5,"shot_no","Floating Jump shot","2PT Field Goal",10,"Houston Rockets",-63,90,41
"Golden State Warriors","3/31/17",2016,1,6,16,"shot_no","Floating Jump shot","2PT Field Goal",12,"Houston Rockets",46,111,6
"Golden State Warriors","3/20/17",2016,1,11,9,"shot_no","Floating Jump shot","2PT Field Goal",15,"Oklahoma City Thunder",-155,-11,1
"Golden State Warriors","11/13/16",2016,1,6,37,"shot_no","Floating Jump shot","2PT Field Goal",14,"Phoenix Suns",2,144,6
"Golden State Warriors","11/18/16",2016,1,1,31,"shot_no","Floating Jump shot","2PT Field Goal",8,"Boston Celtics",-6,82,11
"Golden State Warriors","11/4/16",2016,2,5,54,"shot_yes","Hook Shot","2PT Field Goal",6,"Los Angeles Lakers",-59,32,19
"Golden State Warriors","3/31/17",2016,3,11,7,"shot_no","Jump Bank Shot","2PT Field Goal",3,"Houston Rockets",4,36,25
"Golden State Warriors","12/3/16",2016,1,9,30,"shot_yes","Jump Bank Shot","2PT Field Goal",10,"Phoenix Suns",-101,41,3
"Golden State Warriors","11/16/16",2016,4,6,23,"shot_no","Jump Bank Shot","3PT Field Goal",26,"Toronto Raptors",-2,262,42
"Golden State Warriors","3/29/17",2016,3,0,41,"shot_yes","Jump Bank Shot","2PT Field Goal",4,"San Antonio Spurs",-45,3,36
"Golden State Warriors","2/27/17",2016,4,6,26,"shot_yes","Jump Shot","3PT Field Goal",24,"Philadelphia 76ers",-241,-6,42
"Golden State Warriors","3/31/17",2016,4,1,37,"shot_no","Jump Shot","2PT Field Goal",10,"Houston Rockets",94,36,47
"Golden State Warriors","3/31/17",2016,1,3,5,"shot_no","Jump Shot","2PT Field Goal",17,"Houston Rockets",107,134,9
"Golden State Warriors","3/31/17",2016,4,4,51,"shot_no","Jump Shot","3PT Field Goal",26,"Houston Rockets",-27,262,44
"Golden State Warriors","3/31/17",2016,3,11,28,"shot_no","Jump Shot","3PT Field Goal",27,"Houston Rockets",69,262,25
"Golden State Warriors","3/31/17",2016,4,0,50,"shot_no","Jump Shot","2PT Field Goal",6,"Houston Rockets",-48,47,48
"Golden State Warriors","3/31/17",2016,3,0,33,"shot_no","Jump Shot","3PT Field Goal",26,"Houston Rockets",78,254,36
